year;date;day;month;id_st;lat;lon;farm_ID;inf_presente;dis_sea;dem;cum_max30;cum_avg26;avg_max_7d;avg_min_7d;avg_avg_7d;cum_prec;s_day_frost;s_min_avg;s_mean_avg;s_prec_cum;w_day_frost;w_min_avg;w_mean_avg;w_prec_cum;idr_bal_4;idr_bal_30d;gdd_oli;cum_gdd;doy;perc_inf
2005;38558;25;7;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;23.74848571;18.51772857;21.13310714;60.3511;4;8.45848587;11.18816522;281.8239;11;5.1618175;7.306764167;333.8672;-46.17425331;-65.58093312;1480.4223;607.5593;206;32
2005;38551;18;7;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;23.38232857;17.41534286;20.39883571;55.469;4;8.45848587;11.18816522;281.8239;11;5.1618175;7.306764167;333.8672;-27.35468262;-68.46128727;1368.54415;523.61115;199;32
2005;38545;12;7;3590;43.99189;10.20705;1384;no;4987.374512;66.96112823;0;0;21.2563;16.45018571;18.85324286;50.385;4;8.45848587;11.18816522;281.8239;11;5.1618175;7.306764167;333.8672;-11.01987192;-62.7132808;1271.15855;450.16555;193;32
2005;38595;31;8;3487;44.35718;9.93566;759;inf;28235.6582;306.1425171;1.9507;0.1327;21.13591429;14.21422857;17.67507143;247.3037;12;4.731383696;9.077459783;323.634;58;0.102934167;3.266541667;344.9881;-24.95251244;45.95794976;1719.48105;897.7193012;243;32
2005;38589;25;8;3487;44.35718;9.93566;759;inf;28235.6582;306.1425171;1.9507;0.1327;20.89784286;14.04805714;17.47295;237.5101;12;4.731383696;9.077459783;323.634;58;0.102934167;3.266541667;344.9881;-16.95308564;24.21940632;1639.90505;842.0833012;237;32
2005;38582;18;8;3487;44.35718;9.93566;759;inf;28235.6582;306.1425171;1.9507;0.1327;21.36622857;14.29882857;17.83252857;201.8698;12;4.731383696;9.077459783;323.634;58;0.102934167;3.266541667;344.9881;-32.15298073;-11.00402338;1555.9184;786.0266512;230;32
2005;38575;11;8;3487;44.35718;9.93566;759;inf;28235.6582;306.1425171;1.9507;0.1327;23.10204286;14.20734286;18.65469286;176.9293;12;4.731383696;9.077459783;323.634;58;0.102934167;3.266541667;344.9881;-33.6267314;-91.69595279;1463.6272;721.6654512;223;32
2005;38568;4;8;3487;44.35718;9.93566;759;inf;28235.6582;306.1425171;1.9507;0.1327;27.08457143;17.02091429;22.05274286;109.0218;12;4.731383696;9.077459783;323.634;58;0.102934167;3.266541667;344.9881;-76.63030501;-60.36294033;1370.00305;655.9713012;216;32
2005;38561;28;7;3487;44.35718;9.93566;759;no;28235.6582;306.1425171;0.7877;0;24.94731429;16.05985714;20.50358571;100.9983;12;4.731383696;9.077459783;323.634;58;0.102934167;3.266541667;344.9881;-53.7579454;-52.32719108;1255.93475;570.0048482;209;32
2005;38554;21;7;3487;44.35718;9.93566;759;no;28235.6582;306.1425171;0;0;25.07867143;16.23804286;20.65835714;94.3345;12;4.731383696;9.077459783;323.634;58;0.102934167;3.266541667;344.9881;-29.56821356;-58.02522717;1144.20385;486.2852745;202;32
